,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,EDUTRY,25_34,PC_AGE,A,1989,34.140335
1,AUS,EDUTRY,25_34,PC_AGE,A,1991,35.707539
2,AUS,EDUTRY,25_34,PC_AGE,A,1993,22.836517
3,AUS,EDUTRY,25_34,PC_AGE,A,1994,23.624947
4,AUS,EDUTRY,25_34,PC_AGE,A,1995,24.697142
5,AUS,EDUTRY,25_34,PC_AGE,A,1997,25.702168
6,AUS,EDUTRY,25_34,PC_AGE,A,1998,28.139578
7,AUS,EDUTRY,25_34,PC_AGE,A,1999,28.981586
8,AUS,EDUTRY,25_34,PC_AGE,A,2000,31.372517
9,AUS,EDUTRY,25_34,PC_AGE,A,2001,33.511932
10,AUS,EDUTRY,25_34,PC_AGE,A,2002,35.797337
11,AUS,EDUTRY,25_34,PC_AGE,A,2003,36.322815
12,AUS,EDUTRY,25_34,PC_AGE,A,2004,36.168247
13,AUS,EDUTRY,25_34,PC_AGE,A,2005,38.098312
14,AUS,EDUTRY,25_34,PC_AGE,A,2006,38.804123
15,AUS,EDUTRY,25_34,PC_AGE,A,2007,40.728859
16,AUS,EDUTRY,25_34,PC_AGE,A,2008,41.99683
17,AUS,EDUTRY,25_34,PC_AGE,A,2009,44.778488
18,AUS,EDUTRY,25_34,PC_AGE,A,2010,44.374836
19,AUS,EDUTRY,25_34,PC_AGE,A,2011,44.615528
20,AUS,EDUTRY,25_34,PC_AGE,A,2012,47.231079
21,AUS,EDUTRY,25_34,PC_AGE,A,2013,45.745182
22,AUS,EDUTRY,25_34,PC_AGE,A,2014,48.13139
23,AUS,EDUTRY,25_34,PC_AGE,A,2015,48.466274
24,AUS,EDUTRY,25_34,PC_AGE,A,2016,49.30521
25,AUS,EDUTRY,25_34,PC_AGE,A,2017,51.989063
26,AUS,EDUTRY,25_34,PC_AGE,A,2018,51.393173
27,AUS,EDUTRY,25_34,PC_AGE,A,2019,52.478458
28,AUS,EDUTRY,25_34,PC_AGE,A,2020,54.614105
29,AUS,EDUTRY,25_34,PC_AGE,A,2021,54.307404
30,AUS,EDUTRY,25_34,PC_AGE,A,2022,55.932438
31,CAN,EDUTRY,25_34,PC_AGE,A,1981,30.579226
32,CAN,EDUTRY,25_34,PC_AGE,A,1990,31.989466
33,CAN,EDUTRY,25_34,PC_AGE,A,1991,32.07547
34,CAN,EDUTRY,25_34,PC_AGE,A,1992,33.21056
35,CAN,EDUTRY,25_34,PC_AGE,A,1993,34.487045
36,CAN,EDUTRY,25_34,PC_AGE,A,1994,38.123291
37,CAN,EDUTRY,25_34,PC_AGE,A,1995,40.448719
38,CAN,EDUTRY,25_34,PC_AGE,A,1996,42.239132
39,CAN,EDUTRY,25_34,PC_AGE,A,1997,44.168514
40,CAN,EDUTRY,25_34,PC_AGE,A,1998,45.555809
41,CAN,EDUTRY,25_34,PC_AGE,A,1999,46.988796
42,CAN,EDUTRY,25_34,PC_AGE,A,2000,48.400093
43,CAN,EDUTRY,25_34,PC_AGE,A,2001,50.856735
44,CAN,EDUTRY,25_34,PC_AGE,A,2002,51.629013
45,CAN,EDUTRY,25_34,PC_AGE,A,2003,53.179329
46,CAN,EDUTRY,25_34,PC_AGE,A,2004,53.197052
47,CAN,EDUTRY,25_34,PC_AGE,A,2005,53.694931
48,CAN,EDUTRY,25_34,PC_AGE,A,2006,54.622643
49,CAN,EDUTRY,25_34,PC_AGE,A,2007,55.674667
50,CAN,EDUTRY,25_34,PC_AGE,A,2008,55.619267
51,CAN,EDUTRY,25_34,PC_AGE,A,2009,55.780476
52,CAN,EDUTRY,25_34,PC_AGE,A,2010,56.169838
53,CAN,EDUTRY,25_34,PC_AGE,A,2011,56.40131
54,CAN,EDUTRY,25_34,PC_AGE,A,2012,57.056797
55,CAN,EDUTRY,25_34,PC_AGE,A,2013,57.603394
56,CAN,EDUTRY,25_34,PC_AGE,A,2014,57.725277
57,CAN,EDUTRY,25_34,PC_AGE,A,2015,59.182831
58,CAN,EDUTRY,25_34,PC_AGE,A,2016,60.582603
59,CAN,EDUTRY,25_34,PC_AGE,A,2017,60.916767
60,CAN,EDUTRY,25_34,PC_AGE,A,2018,61.754246
61,CAN,EDUTRY,25_34,PC_AGE,A,2019,62.965115
62,CAN,EDUTRY,25_34,PC_AGE,A,2020,64.386749
63,CAN,EDUTRY,25_34,PC_AGE,A,2021,66.357666
64,CAN,EDUTRY,25_34,PC_AGE,A,2022,66.970039
65,FRA,EDUTRY,25_34,PC_AGE,A,1981,15.120114
66,FRA,EDUTRY,25_34,PC_AGE,A,1989,17.731331
67,FRA,EDUTRY,25_34,PC_AGE,A,1991,20.082354
68,FRA,EDUTRY,25_34,PC_AGE,A,1992,21.5602
69,FRA,EDUTRY,25_34,PC_AGE,A,1994,24.265591
70,FRA,EDUTRY,25_34,PC_AGE,A,1995,25.39583
71,FRA,EDUTRY,25_34,PC_AGE,A,1997,27.807184
72,FRA,EDUTRY,25_34,PC_AGE,A,1998,29.644657
73,FRA,EDUTRY,25_34,PC_AGE,A,1999,30.937677
74,FRA,EDUTRY,25_34,PC_AGE,A,2000,31.375711
75,FRA,EDUTRY,25_34,PC_AGE,A,2001,34.232525
76,FRA,EDUTRY,25_34,PC_AGE,A,2002,36.053307
77,FRA,EDUTRY,25_34,PC_AGE,A,2003,37.855179
78,FRA,EDUTRY,25_34,PC_AGE,A,2004,38.220337
79,FRA,EDUTRY,25_34,PC_AGE,A,2005,39.776222
80,FRA,EDUTRY,25_34,PC_AGE,A,2006,41.416058
81,FRA,EDUTRY,25_34,PC_AGE,A,2007,41.444328
82,FRA,EDUTRY,25_34,PC_AGE,A,2008,40.825264
83,FRA,EDUTRY,25_34,PC_AGE,A,2009,43.149895
84,FRA,EDUTRY,25_34,PC_AGE,A,2010,42.87175
85,FRA,EDUTRY,25_34,PC_AGE,A,2011,42.988277
86,FRA,EDUTRY,25_34,PC_AGE,A,2012,42.909988
87,FRA,EDUTRY,25_34,PC_AGE,A,2013,44.055721
88,FRA,EDUTRY,25_34,PC_AGE,A,2014,44.726288
89,FRA,EDUTRY,25_34,PC_AGE,A,2015,44.687599
90,FRA,EDUTRY,25_34,PC_AGE,A,2016,44.036968
91,FRA,EDUTRY,25_34,PC_AGE,A,2017,44.34428
92,FRA,EDUTRY,25_34,PC_AGE,A,2018,46.937691
93,FRA,EDUTRY,25_34,PC_AGE,A,2019,48.052528
94,FRA,EDUTRY,25_34,PC_AGE,A,2020,49.449242
95,FRA,EDUTRY,25_34,PC_AGE,A,2021,50.256466
96,FRA,EDUTRY,25_34,PC_AGE,A,2022,50.389492
97,DEU,EDUTRY,25_34,PC_AGE,A,1989,18.36923
98,DEU,EDUTRY,25_34,PC_AGE,A,1991,21.162483
99,DEU,EDUTRY,25_34,PC_AGE,A,1992,20.452166
100,DEU,EDUTRY,25_34,PC_AGE,A,1994,20.338358
101,DEU,EDUTRY,25_34,PC_AGE,A,1995,21.274153
102,DEU,EDUTRY,25_34,PC_AGE,A,1997,21.040304
103,DEU,EDUTRY,25_34,PC_AGE,A,1998,21.545525
104,DEU,EDUTRY,25_34,PC_AGE,A,1999,21.528263
105,DEU,EDUTRY,25_34,PC_AGE,A,2000,22.250971
106,DEU,EDUTRY,25_34,PC_AGE,A,2001,21.779524
107,DEU,EDUTRY,25_34,PC_AGE,A,2002,21.739561
108,DEU,EDUTRY,25_34,PC_AGE,A,2003,21.799734
109,DEU,EDUTRY,25_34,PC_AGE,A,2004,22.942751
110,DEU,EDUTRY,25_34,PC_AGE,A,2005,22.494616
111,DEU,EDUTRY,25_34,PC_AGE,A,2006,21.983997
112,DEU,EDUTRY,25_34,PC_AGE,A,2007,22.62182
113,DEU,EDUTRY,25_34,PC_AGE,A,2008,23.916872
114,DEU,EDUTRY,25_34,PC_AGE,A,2009,25.655298
115,DEU,EDUTRY,25_34,PC_AGE,A,2010,26.133959
116,DEU,EDUTRY,25_34,PC_AGE,A,2011,27.67141
117,DEU,EDUTRY,25_34,PC_AGE,A,2012,28.956329
118,DEU,EDUTRY,25_34,PC_AGE,A,2013,29.995255
119,DEU,EDUTRY,25_34,PC_AGE,A,2014,28.422802
120,DEU,EDUTRY,25_34,PC_AGE,A,2015,29.588667
121,DEU,EDUTRY,25_34,PC_AGE,A,2016,30.527618
122,DEU,EDUTRY,25_34,PC_AGE,A,2017,31.308737
123,DEU,EDUTRY,25_34,PC_AGE,A,2018,32.281734
124,DEU,EDUTRY,25_34,PC_AGE,A,2019,33.260235
125,DEU,EDUTRY,25_34,PC_AGE,A,2020,34.876732
126,DEU,EDUTRY,25_34,PC_AGE,A,2021,35.882999
127,DEU,EDUTRY,25_34,PC_AGE,A,2022,37.280796
128,ITA,EDUTRY,25_34,PC_AGE,A,1989,6.7387791
129,ITA,EDUTRY,25_34,PC_AGE,A,1991,6.5751195
130,ITA,EDUTRY,25_34,PC_AGE,A,1992,6.7680349
131,ITA,EDUTRY,25_34,PC_AGE,A,1994,7.898859
132,ITA,EDUTRY,25_34,PC_AGE,A,1995,8.2170544
133,ITA,EDUTRY,25_34,PC_AGE,A,1998,8.9524889
134,ITA,EDUTRY,25_34,PC_AGE,A,1999,9.9974318
135,ITA,EDUTRY,25_34,PC_AGE,A,2000,10.429003
136,ITA,EDUTRY,25_34,PC_AGE,A,2001,11.754972
137,ITA,EDUTRY,25_34,PC_AGE,A,2002,12.461238
138,ITA,EDUTRY,25_34,PC_AGE,A,2003,12.695857
139,ITA,EDUTRY,25_34,PC_AGE,A,2004,14.792785
140,ITA,EDUTRY,25_34,PC_AGE,A,2005,16.105026
141,ITA,EDUTRY,25_34,PC_AGE,A,2006,17.283623
142,ITA,EDUTRY,25_34,PC_AGE,A,2007,18.863468
143,ITA,EDUTRY,25_34,PC_AGE,A,2008,19.90484
144,ITA,EDUTRY,25_34,PC_AGE,A,2009,20.160688
145,ITA,EDUTRY,25_34,PC_AGE,A,2010,20.719744
146,ITA,EDUTRY,25_34,PC_AGE,A,2011,20.983423
147,ITA,EDUTRY,25_34,PC_AGE,A,2012,22.250719
148,ITA,EDUTRY,25_34,PC_AGE,A,2013,22.744907
149,ITA,EDUTRY,25_34,PC_AGE,A,2014,24.158854
150,ITA,EDUTRY,25_34,PC_AGE,A,2015,25.149963
151,ITA,EDUTRY,25_34,PC_AGE,A,2016,25.584146
152,ITA,EDUTRY,25_34,PC_AGE,A,2017,26.816479
153,ITA,EDUTRY,25_34,PC_AGE,A,2018,27.863623
154,ITA,EDUTRY,25_34,PC_AGE,A,2019,27.931559
155,ITA,EDUTRY,25_34,PC_AGE,A,2020,28.628069
156,ITA,EDUTRY,25_34,PC_AGE,A,2021,28.267422
157,ITA,EDUTRY,25_34,PC_AGE,A,2022,29.203739
158,JPN,EDUTRY,25_34,PC_AGE,A,1997,45.744064
159,JPN,EDUTRY,25_34,PC_AGE,A,1998,46.062992
160,JPN,EDUTRY,25_34,PC_AGE,A,1999,45.76923
161,JPN,EDUTRY,25_34,PC_AGE,A,2000,47.844826
162,JPN,EDUTRY,25_34,PC_AGE,A,2001,48.525471
163,JPN,EDUTRY,25_34,PC_AGE,A,2002,50.993023
164,JPN,EDUTRY,25_34,PC_AGE,A,2003,51.645981
165,JPN,EDUTRY,25_34,PC_AGE,A,2004,52.640175
166,JPN,EDUTRY,25_34,PC_AGE,A,2005,53.185596
167,JPN,EDUTRY,25_34,PC_AGE,A,2006,54.074074
168,JPN,EDUTRY,25_34,PC_AGE,A,2007,53.696037
169,JPN,EDUTRY,25_34,PC_AGE,A,2008,55.060974
170,JPN,EDUTRY,25_34,PC_AGE,A,2009,55.667507
171,JPN,EDUTRY,25_34,PC_AGE,A,2010,56.70573
172,JPN,EDUTRY,25_34,PC_AGE,A,2011,58.721333
173,JPN,EDUTRY,25_34,PC_AGE,A,2012,58.554874
174,JPN,EDUTRY,25_34,PC_AGE,A,2013,58.368496
175,JPN,EDUTRY,25_34,PC_AGE,A,2014,58.585857
176,JPN,EDUTRY,25_34,PC_AGE,A,2015,59.646538
177,JPN,EDUTRY,25_34,PC_AGE,A,2016,60.120392
178,JPN,EDUTRY,25_34,PC_AGE,A,2017,60.426178
179,JPN,EDUTRY,25_34,PC_AGE,A,2018,60.730949
180,JPN,EDUTRY,25_34,PC_AGE,A,2019,61.514194
181,JPN,EDUTRY,25_34,PC_AGE,A,2020,63.54916
182,JPN,EDUTRY,25_34,PC_AGE,A,2021,64.814812
183,JPN,EDUTRY,25_34,PC_AGE,A,2022,65.682365
184,KOR,EDUTRY,25_34,PC_AGE,A,1995,28.806385
185,KOR,EDUTRY,25_34,PC_AGE,A,1997,30.871248
186,KOR,EDUTRY,25_34,PC_AGE,A,1998,33.83152
187,KOR,EDUTRY,25_34,PC_AGE,A,1999,34.837105
188,KOR,EDUTRY,25_34,PC_AGE,A,2000,36.81242
189,KOR,EDUTRY,25_34,PC_AGE,A,2001,38.955528
190,KOR,EDUTRY,25_34,PC_AGE,A,2002,41.017273
191,KOR,EDUTRY,25_34,PC_AGE,A,2003,46.514172
192,KOR,EDUTRY,25_34,PC_AGE,A,2004,49.056168
193,KOR,EDUTRY,25_34,PC_AGE,A,2005,50.858059
194,KOR,EDUTRY,25_34,PC_AGE,A,2006,52.953865
195,KOR,EDUTRY,25_34,PC_AGE,A,2007,55.490356
196,KOR,EDUTRY,25_34,PC_AGE,A,2008,57.842369
197,KOR,EDUTRY,25_34,PC_AGE,A,2009,60.575958
198,KOR,EDUTRY,25_34,PC_AGE,A,2010,61.449047
199,KOR,EDUTRY,25_34,PC_AGE,A,2011,63.734528
200,KOR,EDUTRY,25_34,PC_AGE,A,2012,65.603264
201,KOR,EDUTRY,25_34,PC_AGE,A,2013,67.088554
202,KOR,EDUTRY,25_34,PC_AGE,A,2014,67.665947
203,KOR,EDUTRY,25_34,PC_AGE,A,2015,68.861946
204,KOR,EDUTRY,25_34,PC_AGE,A,2016,69.851555
205,KOR,EDUTRY,25_34,PC_AGE,A,2017,69.752068
206,KOR,EDUTRY,25_34,PC_AGE,A,2018,69.574219
207,KOR,EDUTRY,25_34,PC_AGE,A,2019,69.802818
208,KOR,EDUTRY,25_34,PC_AGE,A,2020,69.812752
209,KOR,EDUTRY,25_34,PC_AGE,A,2021,69.288513
210,KOR,EDUTRY,25_34,PC_AGE,A,2022,69.580132
211,MEX,EDUTRY,25_34,PC_AGE,A,1997,16.726521
212,MEX,EDUTRY,25_34,PC_AGE,A,1998,16.657288
213,MEX,EDUTRY,25_34,PC_AGE,A,1999,16.283022
214,MEX,EDUTRY,25_34,PC_AGE,A,2000,17.454798
215,MEX,EDUTRY,25_34,PC_AGE,A,2001,18.090631
216,MEX,EDUTRY,25_34,PC_AGE,A,2002,18.558001
217,MEX,EDUTRY,25_34,PC_AGE,A,2003,18.899502
218,MEX,EDUTRY,25_34,PC_AGE,A,2004,19.467903
219,MEX,EDUTRY,25_34,PC_AGE,A,2005,14.924469
220,MEX,EDUTRY,25_34,PC_AGE,A,2006,15.65289
221,MEX,EDUTRY,25_34,PC_AGE,A,2007,16.287527
222,MEX,EDUTRY,25_34,PC_AGE,A,2008,16.384148
223,MEX,EDUTRY,25_34,PC_AGE,A,2009,17.244875
224,MEX,EDUTRY,25_34,PC_AGE,A,2010,17.700443
225,MEX,EDUTRY,25_34,PC_AGE,A,2011,18.792442
226,MEX,EDUTRY,25_34,PC_AGE,A,2012,20.029097
227,MEX,EDUTRY,25_34,PC_AGE,A,2013,20.856949
228,MEX,EDUTRY,25_34,PC_AGE,A,2014,20.312202
229,MEX,EDUTRY,25_34,PC_AGE,A,2015,20.806568
230,MEX,EDUTRY,25_34,PC_AGE,A,2016,21.791378
231,MEX,EDUTRY,25_34,PC_AGE,A,2017,22.555721
232,MEX,EDUTRY,25_34,PC_AGE,A,2018,23.359127
233,MEX,EDUTRY,25_34,PC_AGE,A,2019,23.587111
234,MEX,EDUTRY,25_34,PC_AGE,A,2020,25.290871
235,MEX,EDUTRY,25_34,PC_AGE,A,2021,27.056374
236,MEX,EDUTRY,25_34,PC_AGE,A,2022,27.271296
237,TUR,EDUTRY,25_34,PC_AGE,A,1991,6.1471119
238,TUR,EDUTRY,25_34,PC_AGE,A,1992,5.5966425
239,TUR,EDUTRY,25_34,PC_AGE,A,1994,6.5780988
240,TUR,EDUTRY,25_34,PC_AGE,A,1995,7.5436859
241,TUR,EDUTRY,25_34,PC_AGE,A,1997,7.3224893
242,TUR,EDUTRY,25_34,PC_AGE,A,1998,7.8393312
243,TUR,EDUTRY,25_34,PC_AGE,A,1999,8.7134142
244,TUR,EDUTRY,25_34,PC_AGE,A,2000,8.8802376
245,TUR,EDUTRY,25_34,PC_AGE,A,2001,9.1435289
246,TUR,EDUTRY,25_34,PC_AGE,A,2002,10.491946
247,TUR,EDUTRY,25_34,PC_AGE,A,2003,11.389406
248,TUR,EDUTRY,25_34,PC_AGE,A,2004,11.481482
249,TUR,EDUTRY,25_34,PC_AGE,A,2005,12.508089
250,TUR,EDUTRY,25_34,PC_AGE,A,2006,13.459621
251,TUR,EDUTRY,25_34,PC_AGE,A,2007,14.199503
252,TUR,EDUTRY,25_34,PC_AGE,A,2008,15.463108
253,TUR,EDUTRY,25_34,PC_AGE,A,2009,16.639408
254,TUR,EDUTRY,25_34,PC_AGE,A,2010,17.447386
255,TUR,EDUTRY,25_34,PC_AGE,A,2011,18.87298
256,TUR,EDUTRY,25_34,PC_AGE,A,2012,20.998264
257,TUR,EDUTRY,25_34,PC_AGE,A,2013,22.456688
258,TUR,EDUTRY,25_34,PC_AGE,A,2014,24.793388
259,TUR,EDUTRY,25_34,PC_AGE,A,2015,27.517448
260,TUR,EDUTRY,25_34,PC_AGE,A,2016,30.456598
261,TUR,EDUTRY,25_34,PC_AGE,A,2017,31.588659
262,TUR,EDUTRY,25_34,PC_AGE,A,2018,33.280041
263,TUR,EDUTRY,25_34,PC_AGE,A,2019,35.325356
264,TUR,EDUTRY,25_34,PC_AGE,A,2021,39.825943
265,TUR,EDUTRY,25_34,PC_AGE,A,2022,41.249073
266,GBR,EDUTRY,25_34,PC_AGE,A,1997,24.681225
267,GBR,EDUTRY,25_34,PC_AGE,A,1998,25.98814
268,GBR,EDUTRY,25_34,PC_AGE,A,1999,27.681889
269,GBR,EDUTRY,25_34,PC_AGE,A,2000,28.901674
270,GBR,EDUTRY,25_34,PC_AGE,A,2001,30.066694
271,GBR,EDUTRY,25_34,PC_AGE,A,2002,31.410488
272,GBR,EDUTRY,25_34,PC_AGE,A,2003,33.321693
273,GBR,EDUTRY,25_34,PC_AGE,A,2004,34.897144
274,GBR,EDUTRY,25_34,PC_AGE,A,2005,35.345379
275,GBR,EDUTRY,25_34,PC_AGE,A,2006,41.8297
276,GBR,EDUTRY,25_34,PC_AGE,A,2007,43.08427
277,GBR,EDUTRY,25_34,PC_AGE,A,2008,43.337868
278,GBR,EDUTRY,25_34,PC_AGE,A,2009,45.283749
279,GBR,EDUTRY,25_34,PC_AGE,A,2010,46.046906
280,GBR,EDUTRY,25_34,PC_AGE,A,2011,46.910782
281,GBR,EDUTRY,25_34,PC_AGE,A,2012,47.860847
282,GBR,EDUTRY,25_34,PC_AGE,A,2013,48.31358
283,GBR,EDUTRY,25_34,PC_AGE,A,2014,49.185982
284,GBR,EDUTRY,25_34,PC_AGE,A,2015,49.943413
285,GBR,EDUTRY,25_34,PC_AGE,A,2016,51.775383
286,GBR,EDUTRY,25_34,PC_AGE,A,2017,51.624851
287,GBR,EDUTRY,25_34,PC_AGE,A,2018,50.752552
288,GBR,EDUTRY,25_34,PC_AGE,A,2019,51.809521
289,GBR,EDUTRY,25_34,PC_AGE,A,2020,55.833538
290,GBR,EDUTRY,25_34,PC_AGE,A,2021,57.473328
291,GBR,EDUTRY,25_34,PC_AGE,A,2022,57.699051
292,USA,EDUTRY,25_34,PC_AGE,A,1981,23.275386
293,USA,EDUTRY,25_34,PC_AGE,A,1982,23.832958
294,USA,EDUTRY,25_34,PC_AGE,A,1983,24.504095
295,USA,EDUTRY,25_34,PC_AGE,A,1984,24.415866
296,USA,EDUTRY,25_34,PC_AGE,A,1985,23.915321
297,USA,EDUTRY,25_34,PC_AGE,A,1986,24.088905
298,USA,EDUTRY,25_34,PC_AGE,A,1987,23.999156
299,USA,EDUTRY,25_34,PC_AGE,A,1988,23.780565
300,USA,EDUTRY,25_34,PC_AGE,A,1989,24.280219
301,USA,EDUTRY,25_34,PC_AGE,A,1990,23.987495
302,USA,EDUTRY,25_34,PC_AGE,A,1991,23.758841
303,USA,EDUTRY,25_34,PC_AGE,A,1992,30.160175
304,USA,EDUTRY,25_34,PC_AGE,A,1993,31.726536
305,USA,EDUTRY,25_34,PC_AGE,A,1994,31.958218
306,USA,EDUTRY,25_34,PC_AGE,A,1995,33.599472
307,USA,EDUTRY,25_34,PC_AGE,A,1996,35.157932
308,USA,EDUTRY,25_34,PC_AGE,A,1997,35.704861
309,USA,EDUTRY,25_34,PC_AGE,A,1998,36.195801
310,USA,EDUTRY,25_34,PC_AGE,A,1999,37.368931
311,USA,EDUTRY,25_34,PC_AGE,A,2000,38.083973
312,USA,EDUTRY,25_34,PC_AGE,A,2001,38.717625
313,USA,EDUTRY,25_34,PC_AGE,A,2002,39.336624
314,USA,EDUTRY,25_34,PC_AGE,A,2003,38.652836
315,USA,EDUTRY,25_34,PC_AGE,A,2004,39.042027
316,USA,EDUTRY,25_34,PC_AGE,A,2005,39.363441
317,USA,EDUTRY,25_34,PC_AGE,A,2006,39.239269
318,USA,EDUTRY,25_34,PC_AGE,A,2007,40.386425
319,USA,EDUTRY,25_34,PC_AGE,A,2008,41.564896
320,USA,EDUTRY,25_34,PC_AGE,A,2009,41.056328
321,USA,EDUTRY,25_34,PC_AGE,A,2010,42.310982
322,USA,EDUTRY,25_34,PC_AGE,A,2011,43.132984
323,USA,EDUTRY,25_34,PC_AGE,A,2012,44.042595
324,USA,EDUTRY,25_34,PC_AGE,A,2013,44.779469
325,USA,EDUTRY,25_34,PC_AGE,A,2014,45.663815
326,USA,EDUTRY,25_34,PC_AGE,A,2015,46.517712
327,USA,EDUTRY,25_34,PC_AGE,A,2016,47.521809
328,USA,EDUTRY,25_34,PC_AGE,A,2017,47.757
329,USA,EDUTRY,25_34,PC_AGE,A,2018,49.373737
330,USA,EDUTRY,25_34,PC_AGE,A,2019,50.380188
331,USA,EDUTRY,25_34,PC_AGE,A,2020,51.856071
332,USA,EDUTRY,25_34,PC_AGE,A,2021,51.1675
333,USA,EDUTRY,25_34,PC_AGE,A,2022,51.255699
334,ARG,EDUTRY,25_34,PC_AGE,A,2004,16.310043
335,ARG,EDUTRY,25_34,PC_AGE,A,2005,16.823986
336,ARG,EDUTRY,25_34,PC_AGE,A,2006,17.251774
337,ARG,EDUTRY,25_34,PC_AGE,A,2008,19.261948
338,ARG,EDUTRY,25_34,PC_AGE,A,2009,19.39183
339,ARG,EDUTRY,25_34,PC_AGE,A,2010,20.616898
340,ARG,EDUTRY,25_34,PC_AGE,A,2011,19.9783
341,ARG,EDUTRY,25_34,PC_AGE,A,2012,19.898472
342,ARG,EDUTRY,25_34,PC_AGE,A,2013,19.331865
343,ARG,EDUTRY,25_34,PC_AGE,A,2014,18.801071
344,ARG,EDUTRY,25_34,PC_AGE,A,2017,18.388876
345,ARG,EDUTRY,25_34,PC_AGE,A,2018,17.45554
346,ARG,EDUTRY,25_34,PC_AGE,A,2019,18.856657
347,ARG,EDUTRY,25_34,PC_AGE,A,2020,18.214817
348,ARG,EDUTRY,25_34,PC_AGE,A,2021,19.026117
349,BRA,EDUTRY,25_34,PC_AGE,A,2007,10.035432
350,BRA,EDUTRY,25_34,PC_AGE,A,2008,11.000713
351,BRA,EDUTRY,25_34,PC_AGE,A,2009,11.575587
352,BRA,EDUTRY,25_34,PC_AGE,A,2011,12.742485
353,BRA,EDUTRY,25_34,PC_AGE,A,2012,14.51143
354,BRA,EDUTRY,25_34,PC_AGE,A,2013,15.2918
355,BRA,EDUTRY,25_34,PC_AGE,A,2014,16.276585
356,BRA,EDUTRY,25_34,PC_AGE,A,2015,16.62822
357,BRA,EDUTRY,25_34,PC_AGE,A,2016,19.172213
358,BRA,EDUTRY,25_34,PC_AGE,A,2017,19.101683
359,BRA,EDUTRY,25_34,PC_AGE,A,2018,20.827681
360,BRA,EDUTRY,25_34,PC_AGE,A,2019,21.031229
361,BRA,EDUTRY,25_34,PC_AGE,A,2020,22.672012
362,BRA,EDUTRY,25_34,PC_AGE,A,2021,23.025974
363,BRA,EDUTRY,25_34,PC_AGE,A,2022,23.191143
364,CHN,EDUTRY,25_34,PC_AGE,A,2010,17.948812
365,IND,EDUTRY,25_34,PC_AGE,A,2011,13.899584
366,IND,EDUTRY,25_34,PC_AGE,A,2012,9.6421013
367,IND,EDUTRY,25_34,PC_AGE,A,2018,17.586313
368,IND,EDUTRY,25_34,PC_AGE,A,2019,19.491144
369,IND,EDUTRY,25_34,PC_AGE,A,2020,20.502251
370,IND,EDUTRY,25_34,PC_AGE,A,2022,20.460045
371,IDN,EDUTRY,25_34,PC_AGE,A,2004,10.607051
372,IDN,EDUTRY,25_34,PC_AGE,A,2005,6.0906754
373,IDN,EDUTRY,25_34,PC_AGE,A,2006,7.211904
374,IDN,EDUTRY,25_34,PC_AGE,A,2007,8.3086014
375,IDN,EDUTRY,25_34,PC_AGE,A,2008,7.8547144
376,IDN,EDUTRY,25_34,PC_AGE,A,2009,9.0847845
377,IDN,EDUTRY,25_34,PC_AGE,A,2010,9.6603518
378,IDN,EDUTRY,25_34,PC_AGE,A,2011,10.275131
379,IDN,EDUTRY,25_34,PC_AGE,A,2012,11.456944
380,IDN,EDUTRY,25_34,PC_AGE,A,2013,11.93277
381,IDN,EDUTRY,25_34,PC_AGE,A,2014,12.44546
