,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,POP,TOT,MLN_PER,A,1950,8.1787
1,AUS,POP,TOT,MLN_PER,A,1951,8.4217
2,AUS,POP,TOT,MLN_PER,A,1952,8.6365
3,AUS,POP,TOT,MLN_PER,A,1953,8.8153
4,AUS,POP,TOT,MLN_PER,A,1954,8.9865
5,AUS,POP,TOT,MLN_PER,A,1955,9.1997
6,AUS,POP,TOT,MLN_PER,A,1956,9.4255
7,AUS,POP,TOT,MLN_PER,A,1957,9.6402
8,AUS,POP,TOT,MLN_PER,A,1958,9.8424
9,AUS,POP,TOT,MLN_PER,A,1959,10.0564
10,AUS,POP,TOT,MLN_PER,A,1960,10.275
11,AUS,POP,TOT,MLN_PER,A,1961,10.5082
12,AUS,POP,TOT,MLN_PER,A,1962,10.7005
13,AUS,POP,TOT,MLN_PER,A,1963,10.9069
14,AUS,POP,TOT,MLN_PER,A,1964,11.1216
15,AUS,POP,TOT,MLN_PER,A,1965,11.3409
16,AUS,POP,TOT,MLN_PER,A,1966,11.599498
17,AUS,POP,TOT,MLN_PER,A,1967,11.799078
18,AUS,POP,TOT,MLN_PER,A,1968,12.008635
19,AUS,POP,TOT,MLN_PER,A,1969,12.263014
20,AUS,POP,TOT,MLN_PER,A,1970,12.507349
21,AUS,POP,TOT,MLN_PER,A,1971,13.067265
22,AUS,POP,TOT,MLN_PER,A,1972,13.303664
23,AUS,POP,TOT,MLN_PER,A,1973,13.504538
24,AUS,POP,TOT,MLN_PER,A,1974,13.722571
25,AUS,POP,TOT,MLN_PER,A,1975,13.892995
26,AUS,POP,TOT,MLN_PER,A,1976,14.033083
27,AUS,POP,TOT,MLN_PER,A,1977,14.192234
28,AUS,POP,TOT,MLN_PER,A,1978,14.359255
29,AUS,POP,TOT,MLN_PER,A,1979,14.515729
30,AUS,POP,TOT,MLN_PER,A,1980,14.695356
31,AUS,POP,TOT,MLN_PER,A,1981,14.92326
32,AUS,POP,TOT,MLN_PER,A,1982,15.184247
33,AUS,POP,TOT,MLN_PER,A,1983,15.393472
34,AUS,POP,TOT,MLN_PER,A,1984,15.579391
35,AUS,POP,TOT,MLN_PER,A,1985,15.788312
36,AUS,POP,TOT,MLN_PER,A,1986,16.01835
37,AUS,POP,TOT,MLN_PER,A,1987,16.263874
38,AUS,POP,TOT,MLN_PER,A,1988,16.532164
39,AUS,POP,TOT,MLN_PER,A,1989,16.814416
40,AUS,POP,TOT,MLN_PER,A,1990,17.065128
41,AUS,POP,TOT,MLN_PER,A,1991,17.284036
42,AUS,POP,TOT,MLN_PER,A,1992,17.478635
43,AUS,POP,TOT,MLN_PER,A,1993,17.634808
44,AUS,POP,TOT,MLN_PER,A,1994,17.805468
45,AUS,POP,TOT,MLN_PER,A,1995,18.004882
46,AUS,POP,TOT,MLN_PER,A,1996,18.224767
47,AUS,POP,TOT,MLN_PER,A,1997,18.423037
48,AUS,POP,TOT,MLN_PER,A,1998,18.607584
49,AUS,POP,TOT,MLN_PER,A,1999,18.812264
50,AUS,POP,TOT,MLN_PER,A,2000,19.028802
51,AUS,POP,TOT,MLN_PER,A,2001,19.274701
52,AUS,POP,TOT,MLN_PER,A,2002,19.49521
53,AUS,POP,TOT,MLN_PER,A,2003,19.720737
54,AUS,POP,TOT,MLN_PER,A,2004,19.932722
55,AUS,POP,TOT,MLN_PER,A,2005,20.176844
56,AUS,POP,TOT,MLN_PER,A,2006,20.450966
57,AUS,POP,TOT,MLN_PER,A,2007,20.827622
58,AUS,POP,TOT,MLN_PER,A,2008,21.249199
59,AUS,POP,TOT,MLN_PER,A,2009,21.691653
60,AUS,POP,TOT,MLN_PER,A,2010,22.03175
61,AUS,POP,TOT,MLN_PER,A,2011,22.340024
62,AUS,POP,TOT,MLN_PER,A,2012,22.733465
63,AUS,POP,TOT,MLN_PER,A,2013,23.128129
64,AUS,POP,TOT,MLN_PER,A,2014,23.475686
65,AUS,POP,TOT,MLN_PER,A,2015,23.815995
66,AUS,POP,TOT,MLN_PER,A,2016,24.190907
67,AUS,POP,TOT,MLN_PER,A,2017,24.594202
68,AUS,POP,TOT,MLN_PER,A,2018,24.966643
69,AUS,POP,TOT,MLN_PER,A,2019,25.340217
70,AUS,POP,TOT,MLN_PER,A,2020,25.655289
71,AUS,POP,TOT,MLN_PER,A,2021,25.688079
72,AUS,POP,TOT,MLN_PER,A,2022,25.978935
73,AUT,POP,TOT,MLN_PER,A,1950,6.9351
74,AUT,POP,TOT,MLN_PER,A,1951,6.935451
75,AUT,POP,TOT,MLN_PER,A,1952,6.927772
76,AUT,POP,TOT,MLN_PER,A,1953,6.932483
77,AUT,POP,TOT,MLN_PER,A,1954,6.940209
78,AUT,POP,TOT,MLN_PER,A,1955,6.946885
79,AUT,POP,TOT,MLN_PER,A,1956,6.952359
80,AUT,POP,TOT,MLN_PER,A,1957,6.96586
81,AUT,POP,TOT,MLN_PER,A,1958,6.987358
82,AUT,POP,TOT,MLN_PER,A,1959,7.014331
83,AUT,POP,TOT,MLN_PER,A,1960,7.047539
84,AUT,POP,TOT,MLN_PER,A,1961,7.086299
85,AUT,POP,TOT,MLN_PER,A,1962,7.129864
86,AUT,POP,TOT,MLN_PER,A,1963,7.175811
87,AUT,POP,TOT,MLN_PER,A,1964,7.223801
88,AUT,POP,TOT,MLN_PER,A,1965,7.270889
89,AUT,POP,TOT,MLN_PER,A,1966,7.322066
90,AUT,POP,TOT,MLN_PER,A,1967,7.376998
91,AUT,POP,TOT,MLN_PER,A,1968,7.415403
92,AUT,POP,TOT,MLN_PER,A,1969,7.441055
93,AUT,POP,TOT,MLN_PER,A,1970,7.467086
