,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,GDP,TOT,USD_CAP,A,1960,2412.627589
1,AUS,GDP,TOT,USD_CAP,A,1961,2383.188902
2,AUS,GDP,TOT,USD_CAP,A,1962,2577.332834
3,AUS,GDP,TOT,USD_CAP,A,1963,2752.620592
4,AUS,GDP,TOT,USD_CAP,A,1964,2902.590472
5,AUS,GDP,TOT,USD_CAP,A,1965,3001.900269
6,AUS,GDP,TOT,USD_CAP,A,1966,3275.594754
7,AUS,GDP,TOT,USD_CAP,A,1967,3447.128012
8,AUS,GDP,TOT,USD_CAP,A,1968,3833.100887
9,AUS,GDP,TOT,USD_CAP,A,1969,4207.900059
10,AUS,GDP,TOT,USD_CAP,A,1970,4652.052555
11,AUS,GDP,TOT,USD_CAP,A,1971,4863.656325
12,AUS,GDP,TOT,USD_CAP,A,1972,5210.710998
13,AUS,GDP,TOT,USD_CAP,A,1973,5796.441599
14,AUS,GDP,TOT,USD_CAP,A,1974,6245.992541
15,AUS,GDP,TOT,USD_CAP,A,1975,6939.246847
16,AUS,GDP,TOT,USD_CAP,A,1976,7396.879985
17,AUS,GDP,TOT,USD_CAP,A,1977,7727.601527
18,AUS,GDP,TOT,USD_CAP,A,1978,8553.932397
19,AUS,GDP,TOT,USD_CAP,A,1979,9456.681329
20,AUS,GDP,TOT,USD_CAP,A,1980,10478.42327
21,AUS,GDP,TOT,USD_CAP,A,1981,11956.491969
22,AUS,GDP,TOT,USD_CAP,A,1982,11988.843953
23,AUS,GDP,TOT,USD_CAP,A,1983,12781.125663
24,AUS,GDP,TOT,USD_CAP,A,1984,13609.040018
25,AUS,GDP,TOT,USD_CAP,A,1985,14514.107374
26,AUS,GDP,TOT,USD_CAP,A,1986,14983.686193
27,AUS,GDP,TOT,USD_CAP,A,1987,16053.05751
28,AUS,GDP,TOT,USD_CAP,A,1988,17129.659482
