,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,LIFEEXP,TOT,YR,A,1962,71.0
1,AUS,LIFEEXP,TOT,YR,A,1967,70.8
2,AUS,LIFEEXP,TOT,YR,A,1976,72.8
3,AUS,LIFEEXP,TOT,YR,A,1981,74.8
4,AUS,LIFEEXP,TOT,YR,A,1982,74.6
5,AUS,LIFEEXP,TOT,YR,A,1983,75.4
6,AUS,LIFEEXP,TOT,YR,A,1984,75.7
7,AUS,LIFEEXP,TOT,YR,A,1985,75.5
8,AUS,LIFEEXP,TOT,YR,A,1986,76.0
9,AUS,LIFEEXP,TOT,YR,A,1987,76.2
10,AUS,LIFEEXP,TOT,YR,A,1988,76.2
11,AUS,LIFEEXP,TOT,YR,A,1989,76.4
12,AUS,LIFEEXP,TOT,YR,A,1990,76.9
13,AUS,LIFEEXP,TOT,YR,A,1991,77.3
14,AUS,LIFEEXP,TOT,YR,A,1992,77.4
15,AUS,LIFEEXP,TOT,YR,A,1993,77.9
16,AUS,LIFEEXP,TOT,YR,A,1994,77.9
17,AUS,LIFEEXP,TOT,YR,A,1995,77.8
18,AUS,LIFEEXP,TOT,YR,A,1996,78.1
19,AUS,LIFEEXP,TOT,YR,A,1997,78.4
20,AUS,LIFEEXP,TOT,YR,A,1998,78.6
21,AUS,LIFEEXP,TOT,YR,A,1999,78.9
22,AUS,LIFEEXP,TOT,YR,A,2000,79.2
23,AUS,LIFEEXP,TOT,YR,A,2001,79.6
24,AUS,LIFEEXP,TOT,YR,A,2002,79.9
25,AUS,LIFEEXP,TOT,YR,A,2003,80.2
26,AUS,LIFEEXP,TOT,YR,A,2004,80.5
27,AUS,LIFEEXP,TOT,YR,A,2005,80.8
28,AUS,LIFEEXP,TOT,YR,A,2006,81.0
29,AUS,LIFEEXP,TOT,YR,A,2007,81.3
30,AUS,LIFEEXP,TOT,YR,A,2008,81.4
31,AUS,LIFEEXP,TOT,YR,A,2009,81.5
32,AUS,LIFEEXP,TOT,YR,A,2010,81.7
33,AUS,LIFEEXP,TOT,YR,A,2011,81.9
34,AUS,LIFEEXP,TOT,YR,A,2012,82.0
35,AUS,LIFEEXP,TOT,YR,A,2013,82.1
36,AUS,LIFEEXP,TOT,YR,A,2014,82.3
37,AUS,LIFEEXP,TOT,YR,A,2015,82.4
38,AUS,LIFEEXP,TOT,YR,A,2016,82.4
39,AUS,LIFEEXP,TOT,YR,A,2017,82.5
40,AUS,LIFEEXP,TOT,YR,A,2018,82.7
41,AUS,LIFEEXP,TOT,YR,A,2019,82.9
42,AUS,LIFEEXP,TOT,YR,A,2020,83.2
43,AUS,LIFEEXP,TOT,YR,A,2021,83.3
44,CAN,LIFEEXP,TOT,YR,A,1980,75.1
45,CAN,LIFEEXP,TOT,YR,A,1981,75.5
46,CAN,LIFEEXP,TOT,YR,A,1982,75.7
47,CAN,LIFEEXP,TOT,YR,A,1983,76.1
48,CAN,LIFEEXP,TOT,YR,A,1984,76.4
49,CAN,LIFEEXP,TOT,YR,A,1985,76.4
50,CAN,LIFEEXP,TOT,YR,A,1986,76.5
51,CAN,LIFEEXP,TOT,YR,A,1987,76.8
52,CAN,LIFEEXP,TOT,YR,A,1988,76.9
53,CAN,LIFEEXP,TOT,YR,A,1989,77.2
54,CAN,LIFEEXP,TOT,YR,A,1990,77.5
55,CAN,LIFEEXP,TOT,YR,A,1991,77.7
56,CAN,LIFEEXP,TOT,YR,A,1992,77.9
57,CAN,LIFEEXP,TOT,YR,A,1993,77.8
58,CAN,LIFEEXP,TOT,YR,A,1994,78.0
59,CAN,LIFEEXP,TOT,YR,A,1995,78.1
60,CAN,LIFEEXP,TOT,YR,A,1996,78.3
61,CAN,LIFEEXP,TOT,YR,A,1997,78.5
62,CAN,LIFEEXP,TOT,YR,A,1998,78.7
63,CAN,LIFEEXP,TOT,YR,A,1999,78.9
64,CAN,LIFEEXP,TOT,YR,A,2000,79.3
65,CAN,LIFEEXP,TOT,YR,A,2001,79.5
66,CAN,LIFEEXP,TOT,YR,A,2002,79.6
67,CAN,LIFEEXP,TOT,YR,A,2003,79.8
68,CAN,LIFEEXP,TOT,YR,A,2004,80.1
69,CAN,LIFEEXP,TOT,YR,A,2005,80.2
70,CAN,LIFEEXP,TOT,YR,A,2006,80.7
71,CAN,LIFEEXP,TOT,YR,A,2007,80.7
72,CAN,LIFEEXP,TOT,YR,A,2008,80.8
73,CAN,LIFEEXP,TOT,YR,A,2009,81.2
74,CAN,LIFEEXP,TOT,YR,A,2010,81.4
75,CAN,LIFEEXP,TOT,YR,A,2011,81.6
76,CAN,LIFEEXP,TOT,YR,A,2012,81.8
77,CAN,LIFEEXP,TOT,YR,A,2013,81.8
78,CAN,LIFEEXP,TOT,YR,A,2014,81.9
79,CAN,LIFEEXP,TOT,YR,A,2015,81.9
80,CAN,LIFEEXP,TOT,YR,A,2016,82.0
81,CAN,LIFEEXP,TOT,YR,A,2017,81.9
82,CAN,LIFEEXP,TOT,YR,A,2018,81.9
83,CAN,LIFEEXP,TOT,YR,A,2019,82.3
84,CAN,LIFEEXP,TOT,YR,A,2020,81.7
85,CAN,LIFEEXP,TOT,YR,A,2021,81.6
86,FRA,LIFEEXP,TOT,YR,A,1960,70.3
87,FRA,LIFEEXP,TOT,YR,A,1961,71.0
88,FRA,LIFEEXP,TOT,YR,A,1962,70.5
89,FRA,LIFEEXP,TOT,YR,A,1963,70.5
90,FRA,LIFEEXP,TOT,YR,A,1964,71.4
91,FRA,LIFEEXP,TOT,YR,A,1965,71.3
92,FRA,LIFEEXP,TOT,YR,A,1966,71.5
93,FRA,LIFEEXP,TOT,YR,A,1967,71.5
94,FRA,LIFEEXP,TOT,YR,A,1968,71.5
95,FRA,LIFEEXP,TOT,YR,A,1969,71.3
96,FRA,LIFEEXP,TOT,YR,A,1970,72.2
97,FRA,LIFEEXP,TOT,YR,A,1971,72.1
98,FRA,LIFEEXP,TOT,YR,A,1972,72.4
99,FRA,LIFEEXP,TOT,YR,A,1973,72.5
100,FRA,LIFEEXP,TOT,YR,A,1974,72.8
101,FRA,LIFEEXP,TOT,YR,A,1975,73.0
102,FRA,LIFEEXP,TOT,YR,A,1976,73.2
103,FRA,LIFEEXP,TOT,YR,A,1977,73.8
104,FRA,LIFEEXP,TOT,YR,A,1978,73.9
105,FRA,LIFEEXP,TOT,YR,A,1979,74.2
106,FRA,LIFEEXP,TOT,YR,A,1980,74.3
107,FRA,LIFEEXP,TOT,YR,A,1981,74.5
108,FRA,LIFEEXP,TOT,YR,A,1982,74.8
109,FRA,LIFEEXP,TOT,YR,A,1983,74.8
110,FRA,LIFEEXP,TOT,YR,A,1984,75.3
111,FRA,LIFEEXP,TOT,YR,A,1985,75.4
112,FRA,LIFEEXP,TOT,YR,A,1986,75.7
113,FRA,LIFEEXP,TOT,YR,A,1987,76.3
114,FRA,LIFEEXP,TOT,YR,A,1988,76.6
115,FRA,LIFEEXP,TOT,YR,A,1989,76.7
116,FRA,LIFEEXP,TOT,YR,A,1990,77.0
117,FRA,LIFEEXP,TOT,YR,A,1991,77.2
118,FRA,LIFEEXP,TOT,YR,A,1992,77.5
119,FRA,LIFEEXP,TOT,YR,A,1993,77.5
120,FRA,LIFEEXP,TOT,YR,A,1994,78.0
121,FRA,LIFEEXP,TOT,YR,A,1995,78.1
122,FRA,LIFEEXP,TOT,YR,A,1996,78.2
123,FRA,LIFEEXP,TOT,YR,A,1997,78.6
124,FRA,LIFEEXP,TOT,YR,A,1998,78.8
125,FRA,LIFEEXP,TOT,YR,A,1999,78.9
126,FRA,LIFEEXP,TOT,YR,A,2000,79.2
127,FRA,LIFEEXP,TOT,YR,A,2001,79.3
128,FRA,LIFEEXP,TOT,YR,A,2002,79.4
129,FRA,LIFEEXP,TOT,YR,A,2003,79.3
130,FRA,LIFEEXP,TOT,YR,A,2004,80.4
131,FRA,LIFEEXP,TOT,YR,A,2005,80.4
132,FRA,LIFEEXP,TOT,YR,A,2006,81.0
133,FRA,LIFEEXP,TOT,YR,A,2007,81.3
134,FRA,LIFEEXP,TOT,YR,A,2008,81.4
135,FRA,LIFEEXP,TOT,YR,A,2009,81.6
136,FRA,LIFEEXP,TOT,YR,A,2010,81.9
137,FRA,LIFEEXP,TOT,YR,A,2011,82.3
138,FRA,LIFEEXP,TOT,YR,A,2012,82.1
139,FRA,LIFEEXP,TOT,YR,A,2013,82.4
140,FRA,LIFEEXP,TOT,YR,A,2014,82.9
141,FRA,LIFEEXP,TOT,YR,A,2015,82.4
142,FRA,LIFEEXP,TOT,YR,A,2016,82.7
143,FRA,LIFEEXP,TOT,YR,A,2017,82.7
144,FRA,LIFEEXP,TOT,YR,A,2018,82.8
145,FRA,LIFEEXP,TOT,YR,A,2019,83.0
146,FRA,LIFEEXP,TOT,YR,A,2020,82.3
147,FRA,LIFEEXP,TOT,YR,A,2021,82.4
148,DEU,LIFEEXP,TOT,YR,A,1960,69.1
149,DEU,LIFEEXP,TOT,YR,A,1961,69.7
150,DEU,LIFEEXP,TOT,YR,A,1962,69.9
151,DEU,LIFEEXP,TOT,YR,A,1963,70.0
152,DEU,LIFEEXP,TOT,YR,A,1964,70.6
153,DEU,LIFEEXP,TOT,YR,A,1965,70.5
154,DEU,LIFEEXP,TOT,YR,A,1966,70.6
155,DEU,LIFEEXP,TOT,YR,A,1967,70.9
156,DEU,LIFEEXP,TOT,YR,A,1968,70.5
157,DEU,LIFEEXP,TOT,YR,A,1969,70.3
158,DEU,LIFEEXP,TOT,YR,A,1970,70.6
159,DEU,LIFEEXP,TOT,YR,A,1971,70.8
160,DEU,LIFEEXP,TOT,YR,A,1972,71.0
161,DEU,LIFEEXP,TOT,YR,A,1973,71.3
162,DEU,LIFEEXP,TOT,YR,A,1974,71.5
163,DEU,LIFEEXP,TOT,YR,A,1975,71.4
164,DEU,LIFEEXP,TOT,YR,A,1976,71.8
165,DEU,LIFEEXP,TOT,YR,A,1977,72.5
