,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
0,AUS,HUR,TOT,PC_LF,A,1967,1.875
1,AUS,HUR,TOT,PC_LF,A,1968,1.85
2,AUS,HUR,TOT,PC_LF,A,1969,1.8
3,AUS,HUR,TOT,PC_LF,A,1970,1.625
4,AUS,HUR,TOT,PC_LF,A,1971,1.925
5,AUS,HUR,TOT,PC_LF,A,1972,2.625
6,AUS,HUR,TOT,PC_LF,A,1973,2.325
7,AUS,HUR,TOT,PC_LF,A,1974,2.7
8,AUS,HUR,TOT,PC_LF,A,1975,4.925
9,AUS,HUR,TOT,PC_LF,A,1976,4.75
10,AUS,HUR,TOT,PC_LF,A,1977,5.65
11,AUS,HUR,TOT,PC_LF,A,1978,6.442533
12,AUS,HUR,TOT,PC_LF,A,1979,6.265499
13,AUS,HUR,TOT,PC_LF,A,1980,6.106246
14,AUS,HUR,TOT,PC_LF,A,1981,5.783571
15,AUS,HUR,TOT,PC_LF,A,1982,7.156132
16,AUS,HUR,TOT,PC_LF,A,1983,9.961594
17,AUS,HUR,TOT,PC_LF,A,1984,8.98968
18,AUS,HUR,TOT,PC_LF,A,1985,8.262986
19,AUS,HUR,TOT,PC_LF,A,1986,8.081038
20,AUS,HUR,TOT,PC_LF,A,1987,8.10804
21,AUS,HUR,TOT,PC_LF,A,1988,7.227954
22,AUS,HUR,TOT,PC_LF,A,1989,6.179825
23,AUS,HUR,TOT,PC_LF,A,1990,6.923
24,AUS,HUR,TOT,PC_LF,A,1991,9.576522
25,AUS,HUR,TOT,PC_LF,A,1992,10.72814
26,AUS,HUR,TOT,PC_LF,A,1993,10.87467
27,AUS,HUR,TOT,PC_LF,A,1994,9.72219
28,AUS,HUR,TOT,PC_LF,A,1995,8.472281
29,AUS,HUR,TOT,PC_LF,A,1996,8.506114
30,AUS,HUR,TOT,PC_LF,A,1997,8.362488
31,AUS,HUR,TOT,PC_LF,A,1998,7.677429
32,AUS,HUR,TOT,PC_LF,A,1999,6.873791
33,AUS,HUR,TOT,PC_LF,A,2000,6.285546
34,AUS,HUR,TOT,PC_LF,A,2001,6.742173
35,AUS,HUR,TOT,PC_LF,A,2002,6.368911
36,AUS,HUR,TOT,PC_LF,A,2003,5.92842
37,AUS,HUR,TOT,PC_LF,A,2004,5.396734
38,AUS,HUR,TOT,PC_LF,A,2005,5.033881
39,AUS,HUR,TOT,PC_LF,A,2006,4.78524
40,AUS,HUR,TOT,PC_LF,A,2007,4.379151
41,AUS,HUR,TOT,PC_LF,A,2008,4.23433
42,AUS,HUR,TOT,PC_LF,A,2009,5.560385
43,AUS,HUR,TOT,PC_LF,A,2010,5.21334
44,AUS,HUR,TOT,PC_LF,A,2011,5.081195
45,AUS,HUR,TOT,PC_LF,A,2012,5.223376
46,AUS,HUR,TOT,PC_LF,A,2013,5.66194
47,AUS,HUR,TOT,PC_LF,A,2014,6.077244
48,AUS,HUR,TOT,PC_LF,A,2015,6.056423
49,AUS,HUR,TOT,PC_LF,A,2016,5.710809
50,AUS,HUR,TOT,PC_LF,A,2017,5.595881
51,AUS,HUR,TOT,PC_LF,A,2018,5.30767
52,AUS,HUR,TOT,PC_LF,A,2019,5.166878
53,AUS,HUR,TOT,PC_LF,A,2020,6.463281
54,AUS,HUR,TOT,PC_LF,A,2021,5.1136
55,CAN,HUR,TOT,PC_LF,A,1955,4.408333
56,CAN,HUR,TOT,PC_LF,A,1956,3.433333
57,CAN,HUR,TOT,PC_LF,A,1957,4.65
58,CAN,HUR,TOT,PC_LF,A,1958,7.066667
59,CAN,HUR,TOT,PC_LF,A,1959,5.991667
60,CAN,HUR,TOT,PC_LF,A,1960,6.991667
61,CAN,HUR,TOT,PC_LF,A,1961,7.183333
62,CAN,HUR,TOT,PC_LF,A,1962,5.958333
63,CAN,HUR,TOT,PC_LF,A,1963,5.583333
64,CAN,HUR,TOT,PC_LF,A,1964,4.708333
65,CAN,HUR,TOT,PC_LF,A,1965,3.95
66,CAN,HUR,TOT,PC_LF,A,1966,3.375
67,CAN,HUR,TOT,PC_LF,A,1967,3.833333
68,CAN,HUR,TOT,PC_LF,A,1968,4.525
69,CAN,HUR,TOT,PC_LF,A,1969,4.425
70,CAN,HUR,TOT,PC_LF,A,1970,5.675
71,CAN,HUR,TOT,PC_LF,A,1971,6.2
72,CAN,HUR,TOT,PC_LF,A,1972,6.233333
73,CAN,HUR,TOT,PC_LF,A,1973,5.566667
74,CAN,HUR,TOT,PC_LF,A,1974,5.333333
75,CAN,HUR,TOT,PC_LF,A,1975,6.916667
76,CAN,HUR,TOT,PC_LF,A,1976,7.083333
77,CAN,HUR,TOT,PC_LF,A,1977,8.058333
78,CAN,HUR,TOT,PC_LF,A,1978,8.383333
79,CAN,HUR,TOT,PC_LF,A,1979,7.55
80,CAN,HUR,TOT,PC_LF,A,1980,7.55
81,CAN,HUR,TOT,PC_LF,A,1981,7.633333
82,CAN,HUR,TOT,PC_LF,A,1982,11.03333
83,CAN,HUR,TOT,PC_LF,A,1983,12.03333
84,CAN,HUR,TOT,PC_LF,A,1984,11.35
85,CAN,HUR,TOT,PC_LF,A,1985,10.51667
86,CAN,HUR,TOT,PC_LF,A,1986,9.6
