LOCATION,Year,Education Value,GDP Value,LifeExp Value,Population Value,PopulationDensityAsOf1July(PersonsPerSquareKm),TotalFertilityRate(LiveBirthsPerWoman),InfantMortalityRate(InfantDeathsPer1000LiveBirths)
Australia,1950,,,68.766,8178700,1.1,3.06,24.9
Australia,1951,,,68.974,8421700,1.1,3.06,25.1
Australia,1952,,,69.182,8636500,1.1,3.18,24.1
Australia,1953,,,69.39,8815300,1.1,3.19,23.3
Australia,1954,,,69.598,8986500,1.2,3.19,22.3
Australia,1955,,,69.806,9199700,1.2,3.27,22.1
Australia,1956,,,70.014,9425500,1.2,3.33,21.8
Australia,1957,,,70.222,9640200,1.3,3.42,21.8
Australia,1958,,,70.43,9842400,1.3,3.42,20.6
Australia,1959,,,70.52,10056400,1.3,3.44,21.6
Australia,1960,,2412.627589,70.61,10275000,1.3,3.45,20.1
Australia,1961,,2383.188902,70.7,10508200,1.4,3.54,19.8
Australia,1962,,2577.332834,70.79,10700500,1.4,3.43,20.3
Australia,1963,,2752.620592,70.88,10906900,1.4,3.34,19.5
Australia,1964,,2902.590472,70.872,11121600,1.4,3.15,18.7
Australia,1965,,3001.900269,70.864,11340900,1.5,2.98,18.5
Australia,1966,,3275.594754,70.856,11599498,1.5,2.89,18.2
Australia,1967,,3447.128012,70.848,11799078,1.5,2.85,18
Australia,1968,,3833.100887,70.84,12008635,1.6,2.88,18
Australia,1969,,4207.900059,71.024,12263014,1.6,2.88,18.5
Australia,1970,,4652.052555,71.208,12507349,1.6,2.86,18.6
Australia,1971,,4863.656325,71.392,13067265,1.7,2.94,17.8
Australia,1972,,5210.710998,71.576,13303664,1.7,2.74,16.6
Australia,1973,,5796.441599,71.76,13504538,1.8,2.49,15.7
Australia,1974,,6245.992541,72.126,13722571,1.8,2.33,15.8
Australia,1975,,6939.246847,72.492,13892995,1.8,2.16,13.8
Australia,1976,,7396.879985,72.858,14033083,1.8,2.06,13.6
Australia,1977,,7727.601527,73.224,14192234,1.8,2.02,12.4
Australia,1978,,8553.932397,73.59,14359255,1.9,1.96,12.2
Australia,1979,,9456.681329,73.89,14515729,1.9,1.91,11.1
Australia,1980,,10478.42327,74.19,14695356,1.9,1.9,10.6
Australia,1981,,11956.49197,74.49,14923260,1.9,1.94,10.4
Australia,1982,,11988.84395,74.79,15184247,2,1.94,10.1
Australia,1983,,12781.12566,75.09,15393472,2,1.93,9.7
Australia,1984,,13609.04002,75.31,15579391,2,1.85,9.4
Australia,1985,,14514.10737,75.53,15788312,2.1,1.92,9.8
Australia,1986,,14983.68619,75.75,16018350,2.1,1.87,8.8
Australia,1987,,16053.05751,75.97,16263874,2.1,1.85,9
Australia,1988,,17129.65948,76.19,16532164,2.2,1.84,8.2
Australia,1989,34.140335,17835.12296,76.49,16814416,2.2,1.84,8.5
Australia,1990,34.140335,17838.09814,76.79,17065128,2.2,1.9,7.9
Australia,1991,35.707539,18177.56368,77.09,17284036,2.2,1.86,6.9
Australia,1992,35.707539,19157.69096,77.39,17478635,2.3,1.89,6.9
Australia,1993,22.836517,20184.94601,77.69,17634808,2.3,1.87,6
Australia,1994,23.624947,21432.77545,77.92,17805468,2.3,1.85,6
Australia,1995,24.697142,22442.31684,78.15,18004882,2.3,1.83,5.7
Australia,1996,24.697142,23289.40183,78.38,18224767,2.4,1.81,5.7
Australia,1997,25.702168,24477.4138,78.61,18423037,2.4,1.79,5.5
Australia,1998,28.139578,25708.26383,78.84,18607584,2.4,1.77,5
Australia,1999,28.981586,27139.2482,79.14,18812264,2.4,1.77,5.7
Australia,2000,31.372517,28312.85944,79.44,19028802,2.5,1.77,5.1
Australia,2001,33.511932,29546.41501,79.74,19274701,2.5,1.75,5.1
Australia,2002,35.797337,30807.51408,80.04,19495210,2.5,1.77,5
Australia,2003,36.322815,32391.48624,80.34,19720737,2.6,1.77,4.8
Australia,2004,36.168247,34000.17377,80.568,19932722,2.6,1.79,4.7
Australia,2005,38.098312,35659.12549,80.796,20176844,2.6,1.84,5.1
Australia,2006,38.804123,37938.79208,81.024,20450966,2.7,1.88,4.8
Australia,2007,40.728859,39687.44861,81.252,20827622,2.7,1.99,4.3
Australia,2008,41.99683,40130.34169,81.48,21249199,2.8,2.02,4.3
Australia,2009,44.778488,41672.92375,81.656,21691653,2.8,1.97,4.1
Australia,2010,44.374836,42816.42896,81.832,22031750,2.9,1.95,4.1
Australia,2011,44.615528,44440.57948,82.008,22340024,2.9,1.92,3.8
Australia,2012,47.231079,43884.6356,82.184,22733465,3,1.93,3.3
Australia,2013,45.745182,47763.2159,82.36,23128129,3,1.88,3.6
Australia,2014,48.13139,47606.75493,82.528,23475686,3.1,1.81,3.4
Australia,2015,48.466274,47226.75975,82.696,23815995,3.1,1.81,3.1
Australia,2016,49.30521,50136.79838,82.864,24190907,3.2,1.8,3
Australia,2017,51.989063,50706.48986,83.032,24594202,3.2,1.77,3.3
Australia,2018,51.393173,53025.3869,83.2,24966643,3.3,1.79,3.1
Australia,2019,52.478458,52785.25056,83.348,25340217,3.3,1.67,3
Australia,2020,54.614105,55772.74108,83.496,25655289,3.3,1.59,2.9
Australia,2021,54.307404,62095.40433,83.644,25688079,3.4,1.6,2.9
Australia,2022,55.932438,70011.35139,83.792,25978935,3.4,1.6,2.9
Austria,1950,,,65.652,6935100,84.1,2.09,65.3
Austria,1951,,,65.948,6935451,84,2.02,60
Austria,1952,,,66.244,6927772,83.9,2.06,52.2
Austria,1953,,,66.54,6932483,84,2.09,49.7
Austria,1954,,,66.836,6940209,84.1,2.15,48.4
Austria,1955,,,67.132,6946885,84.2,2.29,46.5
Austria,1956,,,67.428,6952359,84.2,2.48,44.4
Austria,1957,,,67.724,6965860,84.4,2.57,44.4
Austria,1958,,,68.02,6987358,84.7,2.6,40.7
Austria,1959,,,68.348,7014331,85,2.69,40.3
Austria,1960,,935.4604,68.676,7047539,85.4,2.7,37.5
Austria,1961,,1031.815,69.004,7086299,85.9,2.78,33.4
Austria,1962,,1087.8342,69.332,7129864,86.4,2.8,32.9
Austria,1963,,1167.0005,69.66,7175811,86.9,2.82,31.1
Austria,1964,,1269.4126,69.756,7223801,87.5,2.79,29.1
Austria,1965,,1374.5321,69.852,7270889,88.1,2.7,27.6
Austria,1966,,1486.9686,69.948,7322066,88.7,2.66,28
Austria,1967,,1569.6672,70.044,7376998,89.4,2.62,26.2
Austria,1968,,1677.6735,70.14,7415403,89.8,2.58,25.2
Austria,1969,,1825.3861,70.272,7441055,90.2,2.48,24.8
Austria,1970,,2058.7691,70.404,7467086,90.5,2.3,24.9
Austria,1971,,2380.9785,70.536,7500482,90.9,2.2,25.6
Austria,1972,,2924.0489,70.668,7544201,91.4,2.08,24.6
Austria,1973,,3890.7224,70.8,7586115,91.9,1.94,23
Austria,1974,,4630.7572,71.068,7599038,92.1,1.9,23.4
Austria,1975,,5285.6207,71.336,7578903,91.8,1.82,20.1
Austria,1976,,5678.3867,71.604,7565525,91.7,1.69,17.7
Austria,1977,,6810.6277,71.872,7568430,91.7,1.63,16.7
Austria,1978,,8205.469,72.14,7562305,91.6,1.6,15
Austria,1979,,9793.7653,72.368,7549425,91.5,1.6,14.8
Austria,1980,,10869.5465,72.596,7549433,91.5,1.65,14.6
Austria,1981,,9385.2491,72.824,7568710,91.7,1.67,12.6
Austria,1982,,9410.3473,73.052,7574140,91.8,1.66,12.8
Austria,1983,,9537.4074,73.28,7561910,91.6,1.56,11.5
Austria,1984,,8991.065,73.624,7561434,91.6,1.52,11.3
Austria,1985,,9172.0968,73.968,7564984,91.6,1.48,11
Austria,1986,,13083.0727,74.312,7569794,91.7,1.45,10.2
Austria,1987,,16392.7695,74.656,7574586,91.8,1.43,9.8
Austria,1988,,17578.6189,75,7585317,91.9,1.45,8.1
Austria,1989,,17468.9461,75.23,7619566,92.3,1.45,8.3
Austria,1990,,21680.9896,75.46,7677850,93.1,1.46,7.9
Austria,1991,,22410.9118,75.69,7754891,94,1.51,7.6
Austria,1992,,24880.1641,75.92,7840709,95,1.52,7.5
Austria,1993,,24081.5278,76.15,7905632,95.8,1.5,6.5
Austria,1994,,25646.7007,76.426,7936118,96.2,1.46,6.2
Austria,1995,,30325.8496,76.702,7948278,96.3,1.44,5.3
Austria,1996,,29809.0768,76.978,7959016,96.4,1.45,5.1
Austria,1997,,26705.4786,77.254,7968041,96.5,1.4,4.5
Austria,1998,,27361.8751,77.53,7976789,96.7,1.37,4.8
Austria,1999,,27183.4759,77.808,7992323,96.8,1.34,4.2
Austria,2000,,24625.6007,78.086,8011566,97.1,1.36,4.8
Austria,2001,,24558.7637,78.364,8042293,97.4,1.34,4.8
Austria,2002,,26527.5931,78.642,8082121,97.9,1.39,4.2
Austria,2003,,32294.0489,78.92,8118245,98.4,1.38,4.4
Austria,2004,,36889.2335,79.162,8169441,99,1.42,4.5
Austria,2005,,38417.4578,79.404,8225278,99.7,1.41,4.2
