LOCATION,Year,GDP Value,LifeExp Value,Population Value,PopulationDensityAsOf1July(PersonsPerSquareKm),TotalFertilityRate(LiveBirthsPerWoman),InfantMortalityRate(InfantDeathsPer1000LiveBirths),Education Value
Australia,1960,2412.627589,70.61,10275000.0,1.3,3.45,20.1,
Australia,1961,2383.188902,70.7,10508200.0,1.4,3.54,19.8,
Australia,1962,2577.332834,70.79,10700500.0,1.4,3.43,20.3,
Australia,1963,2752.620592,70.88,10906900.0,1.4,3.34,19.5,
Australia,1964,2902.590472,70.872,11121600.0,1.4,3.15,18.7,
Australia,1965,3001.900269,70.864,11340900.0,1.5,2.98,18.5,
Australia,1966,3275.594754,70.856,11599498.0,1.5,2.89,18.2,
Australia,1967,3447.128012,70.848,11799078.0,1.5,2.85,18.0,
Australia,1968,3833.100887,70.84,12008635.0,1.6,2.88,18.0,
Australia,1969,4207.900059,71.024,12263014.0,1.6,2.88,18.5,
Australia,1970,4652.052555,71.208,12507349.0,1.6,2.86,18.6,
Australia,1971,4863.656325,71.392,13067265.0,1.7,2.94,17.8,
Australia,1972,5210.710998,71.576,13303664.0,1.7,2.74,16.6,
Australia,1973,5796.441599,71.76,13504538.0,1.8,2.49,15.7,
Australia,1974,6245.992541,72.126,13722571.0,1.8,2.33,15.8,
Australia,1975,6939.246847,72.492,13892995.0,1.8,2.16,13.8,
Australia,1976,7396.879985,72.858,14033083.0,1.8,2.06,13.6,
Australia,1977,7727.601527,73.224,14192234.0,1.8,2.02,12.4,
Australia,1978,8553.932397,73.59,14359255.0,1.9,1.96,12.2,
Australia,1979,9456.681329,73.89,14515729.0,1.9,1.91,11.1,
Australia,1980,10478.42327,74.19,14695356.0,1.9,1.9,10.6,
Australia,1981,11956.49197,74.49,14923260.0,1.9,1.94,10.4,
Australia,1982,11988.84395,74.79,15184247.0,2.0,1.94,10.1,
Australia,1983,12781.12566,75.09,15393472.0,2.0,1.93,9.7,
Australia,1984,13609.04002,75.31,15579391.0,2.0,1.85,9.4,
Australia,1985,14514.10737,75.53,15788312.0,2.1,1.92,9.8,
Australia,1986,14983.68619,75.75,16018350.0,2.1,1.87,8.8,
Australia,1987,16053.05751,75.97,16263874.0,2.1,1.85,9.0,
Australia,1988,17129.65948,76.19,16532164.0,2.2,1.84,8.2,
Australia,1989,17835.12296,76.49,16814416.0,2.2,1.84,8.5,
Australia,1990,17838.09814,76.79,17065128.0,2.2,1.9,7.9,
Australia,1991,18177.56368,77.09,17284036.0,2.2,1.86,6.9,
Australia,1992,19157.69096,77.39,17478635.0,2.3,1.89,6.9,
Australia,1993,20184.94601,77.69,17634808.0,2.3,1.87,6.0,
Australia,1994,21432.77545,77.92,17805468.0,2.3,1.85,6.0,
Australia,1995,22442.31684,78.15,18004882.0,2.3,1.83,5.7,
Australia,1996,23289.40183,78.38,18224767.0,2.4,1.81,5.7,
Australia,1997,24477.4138,78.61,18423037.0,2.4,1.79,5.5,
Australia,1998,25708.26383,78.84,18607584.0,2.4,1.77,5.0,
Australia,1999,27139.2482,79.14,18812264.0,2.4,1.77,5.7,34.140335
Australia,2000,28312.85944,79.44,19028802.0,2.5,1.77,5.1,
Australia,2001,29546.41501,79.74,19274701.0,2.5,1.75,5.1,35.707539
Australia,2002,30807.51408,80.04,19495210.0,2.5,1.77,5.0,
Australia,2003,32391.48624,80.34,19720737.0,2.6,1.77,4.8,22.836517
Australia,2004,34000.17377,80.568,19932722.0,2.6,1.79,4.7,23.624947
Australia,2005,35659.12549,80.796,20176844.0,2.6,1.84,5.1,24.697142
Australia,2006,37938.79208,81.024,20450966.0,2.7,1.88,4.8,
Australia,2007,39687.44861,81.252,20827622.0,2.7,1.99,4.3,25.702168
Australia,2008,40130.34169,81.48,21249199.0,2.8,2.02,4.3,28.139578
