"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","TOT","YR","A","1962",71,
"AUS","LIFEEXP","TOT","YR","A","1967",70.8,
"AUS","LIFEEXP","TOT","YR","A","1976",72.8,
"AUS","LIFEEXP","TOT","YR","A","1981",74.8,
"AUS","LIFEEXP","TOT","YR","A","1982",74.6,
"AUS","LIFEEXP","TOT","YR","A","1983",75.4,
"AUS","LIFEEXP","TOT","YR","A","1984",75.7,
"AUS","LIFEEXP","TOT","YR","A","1985",75.5,
"AUS","LIFEEXP","TOT","YR","A","1986",76,
"AUS","LIFEEXP","TOT","YR","A","1987",76.2,
"AUS","LIFEEXP","TOT","YR","A","1988",76.2,
"AUS","LIFEEXP","TOT","YR","A","1989",76.4,
"AUS","LIFEEXP","TOT","YR","A","1990",76.9,
"AUS","LIFEEXP","TOT","YR","A","1991",77.3,
"AUS","LIFEEXP","TOT","YR","A","1992",77.4,
"AUS","LIFEEXP","TOT","YR","A","1993",77.9,
"AUS","LIFEEXP","TOT","YR","A","1994",77.9,
"AUS","LIFEEXP","TOT","YR","A","1995",77.8,
"AUS","LIFEEXP","TOT","YR","A","1996",78.1,
"AUS","LIFEEXP","TOT","YR","A","1997",78.4,
"AUS","LIFEEXP","TOT","YR","A","1998",78.6,
"AUS","LIFEEXP","TOT","YR","A","1999",78.9,
"AUS","LIFEEXP","TOT","YR","A","2000",79.2,
"AUS","LIFEEXP","TOT","YR","A","2001",79.6,
"AUS","LIFEEXP","TOT","YR","A","2002",79.9,
"AUS","LIFEEXP","TOT","YR","A","2003",80.2,
"AUS","LIFEEXP","TOT","YR","A","2004",80.5,
"AUS","LIFEEXP","TOT","YR","A","2005",80.8,
"AUS","LIFEEXP","TOT","YR","A","2006",81,
"AUS","LIFEEXP","TOT","YR","A","2007",81.3,
"AUS","LIFEEXP","TOT","YR","A","2008",81.4,
"AUS","LIFEEXP","TOT","YR","A","2009",81.5,
"AUS","LIFEEXP","TOT","YR","A","2010",81.7,
"AUS","LIFEEXP","TOT","YR","A","2011",81.9,
"AUS","LIFEEXP","TOT","YR","A","2012",82,
"AUS","LIFEEXP","TOT","YR","A","2013",82.1,
"AUS","LIFEEXP","TOT","YR","A","2014",82.3,
"AUS","LIFEEXP","TOT","YR","A","2015",82.4,
"AUS","LIFEEXP","TOT","YR","A","2016",82.4,
"AUS","LIFEEXP","TOT","YR","A","2017",82.5,
"AUS","LIFEEXP","TOT","YR","A","2018",82.7,
"AUS","LIFEEXP","TOT","YR","A","2019",82.9,
"AUS","LIFEEXP","TOT","YR","A","2020",83.2,
"AUS","LIFEEXP","TOT","YR","A","2021",83.3,
"CAN","LIFEEXP","TOT","YR","A","1980",75.1,"B"
"CAN","LIFEEXP","TOT","YR","A","1981",75.5,
"CAN","LIFEEXP","TOT","YR","A","1982",75.7,
"CAN","LIFEEXP","TOT","YR","A","1983",76.1,
"CAN","LIFEEXP","TOT","YR","A","1984",76.4,
"CAN","LIFEEXP","TOT","YR","A","1985",76.4,
"CAN","LIFEEXP","TOT","YR","A","1986",76.5,
"CAN","LIFEEXP","TOT","YR","A","1987",76.8,
"CAN","LIFEEXP","TOT","YR","A","1988",76.9,
"CAN","LIFEEXP","TOT","YR","A","1989",77.2,
"CAN","LIFEEXP","TOT","YR","A","1990",77.5,
"CAN","LIFEEXP","TOT","YR","A","1991",77.7,
"CAN","LIFEEXP","TOT","YR","A","1992",77.9,
"CAN","LIFEEXP","TOT","YR","A","1993",77.8,
"CAN","LIFEEXP","TOT","YR","A","1994",78,
"CAN","LIFEEXP","TOT","YR","A","1995",78.1,
"CAN","LIFEEXP","TOT","YR","A","1996",78.3,
"CAN","LIFEEXP","TOT","YR","A","1997",78.5,
"CAN","LIFEEXP","TOT","YR","A","1998",78.7,
"CAN","LIFEEXP","TOT","YR","A","1999",78.9,
"CAN","LIFEEXP","TOT","YR","A","2000",79.3,
"CAN","LIFEEXP","TOT","YR","A","2001",79.5,
"CAN","LIFEEXP","TOT","YR","A","2002",79.6,
"CAN","LIFEEXP","TOT","YR","A","2003",79.8,
"CAN","LIFEEXP","TOT","YR","A","2004",80.1,
"CAN","LIFEEXP","TOT","YR","A","2005",80.2,
"CAN","LIFEEXP","TOT","YR","A","2006",80.7,
"CAN","LIFEEXP","TOT","YR","A","2007",80.7,
"CAN","LIFEEXP","TOT","YR","A","2008",80.8,
"CAN","LIFEEXP","TOT","YR","A","2009",81.2,
"CAN","LIFEEXP","TOT","YR","A","2010",81.4,
"CAN","LIFEEXP","TOT","YR","A","2011",81.6,
"CAN","LIFEEXP","TOT","YR","A","2012",81.8,
"CAN","LIFEEXP","TOT","YR","A","2013",81.8,
"CAN","LIFEEXP","TOT","YR","A","2014",81.9,
"CAN","LIFEEXP","TOT","YR","A","2015",81.9,
"CAN","LIFEEXP","TOT","YR","A","2016",82,
"CAN","LIFEEXP","TOT","YR","A","2017",81.9,
"CAN","LIFEEXP","TOT","YR","A","2018",81.9,
"CAN","LIFEEXP","TOT","YR","A","2019",82.3,
"CAN","LIFEEXP","TOT","YR","A","2020",81.7,
"CAN","LIFEEXP","TOT","YR","A","2021",81.6,
